hotel_name,room_type,max_guests,star_rating,province,district,nearest_cities,activities_at_hotel,nearby_attractions,activities_at_nearby_places,scene_type,image_url,price_per_night_usd,features,description,latitude,longitude
Wella stay unit 1,Entire rental unit,7,4.14,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,guesthouse | tropical | homely,https://images.pexels.com/photos/33824473/pexels-photo-33824473.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$86,Beach Access; Full Kitchen; Family Friendly; Air Conditioning; Free WiFi,"Discover genuine Sri Lankan warmth at Wella stay unit 1, a welcoming apartment in Colombo offering Beach Access, Full Kitchen, and easy access to Mount Lavinia Beach.",6.968601,79.84601
Basith's Home,Entire home,4,Not rated,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,guesthouse | tropical | homely,https://images.pexels.com/photos/36486533/pexels-photo-36486533.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$119,Beach Access; Full Kitchen; Free Parking; Air Conditioning; Free WiFi,"Discover genuine Sri Lankan warmth at Basith's Home, a welcoming home in Colombo offering Beach Access, Full Kitchen, and easy access to Mount Lavinia Beach.",6.973429,79.838851
Villa Nicomar,Entire home,4,4.92,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,villa | luxury | tropical,https://images.pexels.com/photos/31817160/pexels-photo-31817160.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$167,Beach Access; Spa & Wellness; Full Kitchen; Free Parking; Air Conditioning; Free WiFi,Where refined comfort meets tropical splendour — Villa Nicomar in Colombo delivers a premium home experience with Beach Access and proximity to Mount Lavinia Beach.,6.937736,79.830653
A peaceful stay blended in with nature and comfort,Private room in nature lodge,2,4.92,Central Province,Matale District,"Habarana, Ella, Deniyaya",Nature walks on the property; Birdwatching; Photography of natural surroundings; Guided fort and city wall tours; Photography of colonial architecture; Jeep safari to the nearby national park; Bird watching in the national park; Wildlife photography on a guided tour; Day trip to nearby temples and shrines; Attending local festivals and ceremonies; Tea tasting at a nearby tea estate; Guided tea plantation walk,Minneriya National Park (National Parks); Kaudulla National Park (National Parks); Minneriya Tusker Safaris (National Parks); Dambulla Cave Temple (Religious Sites); Sigiriya The Ancient Rock Fortress (Historic Sites); Sigiriya Museum (Historic Sites),Jeep safari to spot elephants and leopards; Bird watching with a local guide; Wildlife tracking walks; Nature photography; Guided eco tours; Camping inside the park; Temple and shrine visits; Attending religious ceremonies and festivals; Meditation and spiritual walks; Guided cultural heritage tours; Photography of ancient architecture; Guided tea plantation walks,heritage | colonial | historic,https://images.pexels.com/photos/3011575/pexels-photo-3011575.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$57,Heritage Property; Free WiFi,Experience the living heritage of Habarana at A peaceful stay blended in with nature and comfort — a beautifully preserved lodge room that pairs Heritage Property with proximity to Minneriya National Park.,7.510471,80.630891
Lotus Villa or Fire Villa,Entire villa,2,4.63,Southern Province,Galle District,"Galle, Unawatuna",Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Visit to the nearby local museum; Cultural and heritage learning tour; Guided jungle trek in nearby wildlife area; Bird watching in the nearby forest; Eco tour in the nature reserve; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops; Bird watching with expert guides; Jungle trekking through forest trails; Wildlife spotting and photography,villa | tropical | coastal,https://images.pexels.com/photos/32634327/pexels-photo-32634327.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$286,Beach Access; Ocean View; Full Kitchen; Free Parking; Air Conditioning; Free WiFi,"Your private slice of paradise awaits at Lotus Villa or Fire Villa — an expansive villa in Galle boasting Beach Access, Ocean View, and sweeping villa-style views.",6.029611,80.211713
Suite Twin Rooms + River View 02,Entire rental unit,2,4.92,Western Province,Kalutara District,"Bentota, Kandy, Ella",River swimming; River boat rides; Fishing in the river; Riverside walks and cycling; Scenic viewpoint photography; Sunrise and sunset watching from the property; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Swimming in the nearby lake,Bentota Beach (Beaches); Kalutara Beach (Beaches); Bentota River Safari (Lagoons & Wetlands); Kalutara Bodhiya (Religious Sites); Beruwala Beach (Beaches); Kande Vihara Aluthgama (Religious Sites),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking,river | nature | tropical,https://images.pexels.com/photos/8484842/pexels-photo-8484842.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$87,Beach Access; Full Kitchen; Air Conditioning; Free WiFi,"Wake to birdsong and tropical greenery at Suite Twin Rooms + River View 02, a peaceful apartment tucked into Bentota's lush surroundings near Bentota Beach.",6.546046,79.917939
"9provinces_boutique 
Suite6",Private room in bed and breakfast,4,2.88,Western Province,Gampaha District,Negombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Negombo Beach (Beaches); Negombo Fish Market (Town & Heritage); Henarathgoda Botanical Garden (Gardens); Muthurajawela Wetland Reserve (Nature & Wildlife Areas); Marawila Beach (Beaches); Kolomba Kataragama Devalaya (Religious Sites),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast,guesthouse | cozy | homely,https://images.pexels.com/photos/29000090/pexels-photo-29000090.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$38,Beach Access; Breakfast Included; Free WiFi,"Discover genuine Sri Lankan warmth at 9provinces_boutique 
Suite6, a welcoming B&B room in Negombo offering Beach Access, Breakfast Included, and easy access to Negombo Beach.",7.066725,80.059102
Kingsford Residences Family Apartment Nuwara Eliya,Entire serviced apartment,6,4.43,Central Province,Nuwara Eliya District,"Nuwara Eliya, Pussellawa",Swimming in the nearby lake; Boat ride on the nearby lake or river; Fishing at the nearby lake; Kayaking in the nearby water; Tea tasting at a nearby tea estate; Guided tea plantation walk; Tea factory tour; Day visit to nearby botanical gardens; Photography walk through scenic gardens; Jeep safari to the nearby national park; Bird watching in the national park; Wildlife photography on a guided tour,Horton Plains National Park (National Parks); Hakgala Botanic Gardens (Gardens); Victoria Park Nuwara Eliya (Gardens); Pedro Tea Factory (Farms); Bluefield Tea Gardens (Farms); Ambewela Farms (Farms),Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking; Kayaking and canoeing; Sunset viewing over the water; Bird watching around the lake; Guided tea plantation walks; Tea factory tours and tea tasting; Scenic walks through tea fields; Learning the tea production process; Meeting local tea pickers,apartment | modern | city,https://images.pexels.com/photos/19084143/pexels-photo-19084143.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$113,Full Kitchen; Family Friendly; Air Conditioning; Free WiFi,Urban comfort meets local character at Kingsford Residences Family Apartment Nuwara Eliya — a contemporary serviced apartment in Nuwara Eliya with Full Kitchen and a short stroll to Horton Plains National Park.,6.979994,80.834771
Moonwater: Studio + Dbl Bedroom A/C + Ensuite : A2,Private room in villa,2,4.58,North Central Province,Anuradhapura District,Anuradhapura,Swimming in the nearby lake; Boat ride on the nearby lake or river; Fishing at the nearby lake; Kayaking in the nearby water; Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Jaya Sri Maha Bodhi (Religious Sites); Ruwanwelisaya (Religious Sites); Isurumuniya Temple (Religious Sites); Jethawanaramaya Stupa (Religious Sites); Abhayagiri Dagaba (Religious Sites); Dagoba of Thuparama (Religious Sites),Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking; Kayaking and canoeing; Sunset viewing over the water; Bird watching around the lake; Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas,villa | hillside | nature,https://images.pexels.com/photos/35155692/pexels-photo-35155692.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$101,Mountain View; Free Parking; Free WiFi,"Escape the ordinary at Moonwater: Studio + Dbl Bedroom A/C + Ensuite : A2, a hillside villa retreat in Anuradhapura where Mountain View, Free Parking, and warm hospitality create lasting memories.",8.349011,80.435015
Colonial boutique Villa in Galle,Entire home,6,4.8,Western Province,Colombo District,Colombo,Colonial heritage walking tours; Historical site photography; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,villa | luxury | tropical,https://images.pexels.com/photos/36580818/pexels-photo-36580818.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$159,Beach Access; Spa & Wellness; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,Where refined comfort meets tropical splendour — Colonial boutique Villa in Galle in Colombo delivers a premium home experience with Beach Access and proximity to Mount Lavinia Beach.,6.934589,79.880619
Charming property,Entire home,2,4.9,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,guesthouse | tropical | homely,https://images.pexels.com/photos/33951871/pexels-photo-33951871.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$113,Beach Access; Full Kitchen; Free Parking; Air Conditioning; Free WiFi,"Discover genuine Sri Lankan warmth at Charming property, a welcoming home in Colombo offering Beach Access, Full Kitchen, and easy access to Mount Lavinia Beach.",6.973706,79.867517
Grand Orchid villa (4 Rooms / Living /Dinning),Private room in serviced apartment,10,5,Southern Province,Galle District,"Galle, Unawatuna",Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Visit to the nearby local museum; Cultural and heritage learning tour; Guided jungle trek in nearby wildlife area; Bird watching in the nearby forest; Eco tour in the nature reserve; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops; Bird watching with expert guides; Jungle trekking through forest trails; Wildlife spotting and photography,villa | tropical | coastal,https://images.pexels.com/photos/2476632/pexels-photo-2476632.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$85,Beach Access; Ocean View; Breakfast Included; Restaurant On-site; Family Friendly; Air Conditioning,"Luxuriate in the space and privacy of Grand Orchid villa (4 Rooms / Living /Dinning), a stunning private room in serviced apartment in Galle complete with Beach Access and easy reach of Hikkaduwa Beach.",6.080497,80.246747
Reef Front Villa Madiha,Entire villa,4,4.36,Southern Province,Galle District,"Galle, Unawatuna",Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Visit to the nearby local museum; Cultural and heritage learning tour; Guided jungle trek in nearby wildlife area; Bird watching in the nearby forest; Eco tour in the nature reserve; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops; Bird watching with expert guides; Jungle trekking through forest trails; Wildlife spotting and photography,villa | tropical | coastal,https://images.pexels.com/photos/14025040/pexels-photo-14025040.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$278,Beach Access; Ocean View; Full Kitchen; Free Parking; Air Conditioning; Free WiFi,"Your private slice of paradise awaits at Reef Front Villa Madiha — an expansive villa in Galle boasting Beach Access, Ocean View, and sweeping villa-style views.",6.099624,80.216885
Sudu Neluma Home Stay (Foreigners Only),Private room in guest suite,5,4.55,North Central Province,Anuradhapura District,Anuradhapura,Swimming in the nearby lake; Boat ride on the nearby lake or river; Fishing at the nearby lake; Kayaking in the nearby water; Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Jaya Sri Maha Bodhi (Religious Sites); Ruwanwelisaya (Religious Sites); Isurumuniya Temple (Religious Sites); Jethawanaramaya Stupa (Religious Sites); Abhayagiri Dagaba (Religious Sites); Dagoba of Thuparama (Religious Sites),Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking; Kayaking and canoeing; Sunset viewing over the water; Bird watching around the lake; Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas,hillside | green | scenic,https://images.pexels.com/photos/31836902/pexels-photo-31836902.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$67,Mountain View; Family Friendly; Free WiFi,Sudu Neluma Home Stay (Foreigners Only) is a comfortable guest suite retreat in Anuradhapura — a perfect base for exploring Jaya Sri Maha Bodhi with the comfort of Mountain View and Family Friendly.,8.307472,80.412383
Selwood Cottage,Entire home,12,4.85,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,guesthouse | tropical | homely,https://images.pexels.com/photos/3011575/pexels-photo-3011575.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$117,Beach Access; Full Kitchen; Family Friendly; Free Parking; Air Conditioning; Free WiFi,"Discover genuine Sri Lankan warmth at Selwood Cottage, a welcoming home in Colombo offering Beach Access, Full Kitchen, and easy access to Mount Lavinia Beach.",6.879835,79.822827
Rice Paddy - Double BB,Private room in bed and breakfast,2,5.0,Western Province,Gampaha District,Negombo,Paddy field walks; Photography of rice paddy scenery; Meeting local farmers; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Negombo Beach (Beaches); Negombo Fish Market (Town & Heritage); Henarathgoda Botanical Garden (Gardens); Muthurajawela Wetland Reserve (Nature & Wildlife Areas); Marawila Beach (Beaches); Kolomba Kataragama Devalaya (Religious Sites),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast,guesthouse | cozy | homely,https://images.pexels.com/photos/19866598/pexels-photo-19866598.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$39,Beach Access; Breakfast Included; Free WiFi,"Discover genuine Sri Lankan warmth at Rice Paddy - Double BB, a welcoming B&B room in Negombo offering Beach Access, Breakfast Included, and easy access to Negombo Beach.",7.044055,80.027766
Hill House-Pool/Wi-Fi/AC/Nilwella- 5 mins to Hiri,Entire villa,6,4.27,Central Province,Kandy District,"Kandy, Nuwara Eliya, Ella",Swimming in the hotel pool; Poolside relaxation and sunbathing; Scenic hill walks and hiking; Panoramic hill-top views; Photography of hill country; Swimming in the nearby lake; Boat ride on the nearby lake or river; Fishing at the nearby lake; Kayaking in the nearby water; Day visit to nearby botanical gardens; Photography walk through scenic gardens; Visit to the nearby local museum,Temple of the Sacred Tooth Relic (Religious Sites); Royal Botanical Gardens Peradeniya (Gardens); Ramboda Waterfall (Waterfalls); Kandy Lake (Bodies of Water); Bahiravokanda Vihara Buddha Statue (Religious Sites); Peradeniya Botanical Gardens (Gardens),Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking; Kayaking and canoeing; Sunset viewing over the water; Bird watching around the lake; Botanical garden walks; Nature and flower photography; Picnics among flowers and trees; Guided plant and herb tours; Bird watching in garden habitats,mountain | hillside | scenic,https://images.pexels.com/photos/19227992/pexels-photo-19227992.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$259,Swimming Pool; Mountain View; Full Kitchen; Family Friendly; Free Parking; Free WiFi,"Find your altitude at Hill House-Pool/Wi-Fi/AC/Nilwella- 5 mins to Hiri — a tranquil villa hideaway in Kandy where cool mountain air, Swimming Pool, and views of Temple of the Sacred Tooth Relic await.",7.34002,80.651391
Mazarine Surf Suites Hiriketiya-Double King Room,Room in hotel,2,4.78,Southern Province,Galle District,"Hikkaduwa, Arugam Bay, Mirissa",Surfing lessons and sessions; Bodyboarding; Watching surfers from the shore; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,surf | beach | ocean,https://images.pexels.com/photos/4628191/pexels-photo-4628191.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$101,Beach Access; Ocean View; Restaurant On-site; Air Conditioning; Free WiFi,"Steps from the golden sands of Hikkaduwa, Mazarine Surf Suites Hiriketiya-Double King Room is a breezy hotel room haven where ocean breezes and Hikkaduwa Beach are right at your doorstep.",6.026493,80.202573
The Garden Pavilion,Entire vacation home,2,Not rated,Western Province,Colombo District,Colombo,Relaxing walks through the hotel garden; Garden photography; Birdwatching in the garden; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,garden | tropical | nature,https://images.pexels.com/photos/6875519/pexels-photo-6875519.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$77,Beach Access; Full Kitchen; Garden; Free Parking; Air Conditioning; Free WiFi,Let the fragrance of tropical blooms welcome you to The Garden Pavilion — a charming vacation home in Colombo with a garden retreat feel and proximity to Mount Lavinia Beach.,6.972645,79.86285
Colombo Court Hotel & Spa,Room in boutique hotel,2,4.94,Western Province,Colombo District,Colombo,Spa treatments and massages; Body scrubs and wellness therapies; Relaxation sessions; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,spa | wellness | relaxation,https://images.pexels.com/photos/14022374/pexels-photo-14022374.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$103,Beach Access; Restaurant On-site; Free WiFi,"Enjoy an authentic stay at Colombo Court Hotel & Spa, a well-appointed boutique room in Colombo with Beach Access and a short distance from Mount Lavinia Beach.",6.878072,79.894418
River Private  villa w/2 Queen Bed & River view,Entire villa,4,4.91,Western Province,Kalutara District,"Bentota, Kandy, Ella",River swimming; River boat rides; Fishing in the river; Riverside walks and cycling; Scenic viewpoint photography; Sunrise and sunset watching from the property; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Swimming in the nearby lake,Bentota Beach (Beaches); Kalutara Beach (Beaches); Bentota River Safari (Lagoons & Wetlands); Kalutara Bodhiya (Religious Sites); Beruwala Beach (Beaches); Kande Vihara Aluthgama (Religious Sites),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking,river | nature | tropical,https://images.pexels.com/photos/8484851/pexels-photo-8484851.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$220,Beach Access; Full Kitchen; Free Parking; Air Conditioning; Free WiFi,"Wake to birdsong and tropical greenery at River Private  villa w/2 Queen Bed & River view, a peaceful villa tucked into Bentota's lush surroundings near Bentota Beach.",6.560226,79.920001
2 Bedroom Apartment - Sea view,Entire rental unit,4,4.99,Western Province,Colombo District,Colombo,Sea-view relaxation; Sunrise and sunset watching over the sea; Scenic viewpoint photography; Sunrise and sunset watching from the property; Swimming in the sea; Sunset watching over the sea; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,beach | tropical | ocean,https://images.pexels.com/photos/19075391/pexels-photo-19075391.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$108,Beach Access; Ocean View; Full Kitchen; Air Conditioning; Free WiFi,"Steps from the golden sands of Colombo, 2 Bedroom Apartment - Sea view is a breezy apartment haven where ocean breezes and Mount Lavinia Beach are right at your doorstep.",6.94447,79.893307
